fake_share_hhi_t,fake_top1_share_ratio_t,global_disagreement,label,mean_fake_event_exposure_ratio,mean_fake_event_misbelief_ratio_among_exposed,platform_trust_mean,polarization_abs_mean,polarization_variance,run_id,timestep,total_likes,total_rewrite_shares,total_shares,users_believing_any_fake_ratio_among_exposed,users_exposed_to_any_fake_ratio
1.0,1.0,0.007829776025132277,hard_on,0.16666666666666666,0.2196969696969697,0.4558293611066808,0.03810000000000001,0.011270412222222173,exp_20260321_162441_exp_rq3_hard,0,88.0,7.0,49.0,0.5918367346938775,0.49
1.0,1.0,0.016088015476190484,hard_on,0.2733333333333334,0.32572298325722987,0.5106097495207108,0.07203333333333334,0.02721037666666674,exp_20260321_162441_exp_rq3_hard,1,227.0,19.0,148.0,0.6075949367088608,0.79
0.9789497510185605,0.9893617021276596,0.022196014814814816,hard_on,0.32666666666666666,0.3563218390804597,0.591019749520711,0.0957,0.03675651000000005,exp_20260321_162441_exp_rq3_hard,2,405.0,43.0,294.0,0.7065217391304348,0.92
0.9294214876033058,0.9636363636363636,0.02791322876984127,hard_on,0.3766666666666667,0.44176029962546814,0.669934976426596,0.10626666666666665,0.039562960000000154,exp_20260321_162441_exp_rq3_hard,3,586.0,67.0,466.0,0.7553191489361702,0.94
0.9162192816635161,0.9565217391304348,0.031599544080687825,hard_on,0.4166666666666667,0.4980102996254681,0.7431922261651367,0.1156,0.04170535999999991,exp_20260321_162441_exp_rq3_hard,4,769.0,98.0,651.0,0.7978723404255319,0.94
0.9007134363852557,0.9482758620689655,0.03173987417328042,hard_on,0.4633333333333333,0.55366506153023,0.8051686990022333,0.12326666666666668,0.04316578222222229,exp_20260321_162441_exp_rq3_hard,5,956.0,132.0,834.0,0.8421052631578947,0.95
0.8713013501867279,0.9322033898305084,0.030256269452711638,hard_on,0.4766666666666666,0.5446111768184506,0.8510459691982291,0.12493333333333334,0.04373816000000003,exp_20260321_162441_exp_rq3_hard,6,1145.0,172.0,1017.0,0.8526315789473684,0.95
0.8713013501867279,0.9322033898305084,0.029916194905423275,hard_on,0.48,0.5556405885831565,0.8795689391479578,0.12593333333333334,0.04407618222222224,exp_20260321_162441_exp_rq3_hard,7,1343.0,211.0,1219.0,0.8526315789473684,0.95
0.8713013501867279,0.9322033898305084,0.02887281420395833,hard_on,0.48,0.5556405885831565,0.9052212912715456,0.12593333333333334,0.04407618222222224,exp_20260321_162441_exp_rq3_hard,8,1538.0,261.0,1414.0,0.8526315789473684,0.95
0.8713013501867279,0.9322033898305084,0.029556071390135576,hard_on,0.48,0.5556405885831565,0.9216290856404384,0.12593333333333334,0.04407618222222224,exp_20260321_162441_exp_rq3_hard,9,1743.0,316.0,1602.0,0.8526315789473684,0.95
