auc_any_fake_exposure,auc_mean_fake_exposure,fake_event_global_disagreement,fake_event_misbelief_ratio_among_exposed_pairs,fake_event_misbelief_ratio_among_exposed_users,fake_share_hhi,global_disagreement,intervention_cost,intervention_count,label,max_cascade_depth,mean_belief_score,mean_event_exposure_ratio,mean_event_opinion_variance,mean_fake_event_exposure_ratio,mean_fake_event_misbelief_ratio_among_exposed,mean_fake_event_opinion_variance,misbelief_ratio,platform_trust_mean,polarization_abs_mean,polarization_variance,run_id,timestep,top1_fake_event,top1_fake_share_ratio,total_fake_shares,total_likes,total_posts,total_rewrite_shares,total_shares,trust_delta,users_believing_any_fake_ratio_among_exposed,users_exposed_to_any_fake_ratio
0.883,0.394,0.03097534808201058,0.6458333333333334,0.8526315789473684,0.8713013501867279,0.029556071390135576,0.0,0.0,hard_on,11.0,0.056866666666666676,0.6933333333333334,0.037568814961833334,0.48,0.5556405885831565,0.03736241333333332,0.31,0.9216290856404384,0.12593333333333334,0.04407618222222224,exp_20260321_162441_exp_rq3_hard,9,event7,0.9322033898305084,118,1743.0,1952.0,316.0,1602.0,0.4657997245337576,0.8526315789473684,0.95
0.885,0.40900000000000003,0.03420180886243387,0.6928104575163399,0.84375,0.7017381656804733,0.03279816316633598,0.0,0.0,hard_off,11.0,0.06416666666666666,0.7166666666666667,0.037703726983333345,0.51,0.6398872445384073,0.036649250000000015,0.35333333333333333,0.42882936110668074,0.12583333333333335,0.04314097222222229,exp_20260321_165524_exp_rq3_hard,9,event7,0.8269230769230769,104,1733.0,1987.0,324.0,1637.0,0.0,0.84375,0.96
0.652,0.24866666666666667,0.019491443949568952,0.9545454545454546,0.9444444444444444,0.9335232668566003,0.022100190463036972,0.0,0.0,soft_on,11.0,0.09116666666666667,0.5599999999999999,0.028185772695999988,0.29333333333333333,0.9227420589360888,0.026385916666666648,0.28,0.9486397588653694,0.09716666666666668,0.038463638888889005,exp_20260321_173127_exp_rq3_soft,9,event7,0.9658119658119658,117,1854.0,1896.0,345.0,1636.0,0.45711039775868834,0.9444444444444444,0.72
0.838,0.3796666666666667,0.03538608869047619,0.8865248226950354,0.9473684210526315,0.7997947057207707,0.034047017865410055,0.0,0.0,soft_off,11.0,0.15653333333333344,0.71,0.048422959516666676,0.47000000000000003,0.8483781918564527,0.04615768000000001,0.4166666666666667,0.42882936110668074,0.1848666666666668,0.08051731555555577,exp_20260321_181711_exp_rq3_soft,9,event7,0.8897338403041825,263,1801.0,1830.0,299.0,1570.0,0.0,0.9473684210526315,0.95
0.649,0.2526666666666667,0.011778230820105831,0.7951807228915663,0.8142857142857143,0.8936718904979171,0.018238545914021166,0.0,0.0,loose_on,11.0,0.059833333333333294,0.5866666666666667,0.026778927516666648,0.27666666666666667,0.7000000000000001,0.01653724999999998,0.22,0.9639164288212351,0.06916666666666661,0.022028305555555572,exp_20260321_175126_exp_rq3_loose,9,event7,0.9436619718309859,71,1829.0,1966.0,355.0,1706.0,0.48158706771455423,0.8142857142857143,0.7
0.647,0.23533333333333337,0.011015643187830692,0.8571428571428571,0.8571428571428571,0.958781163434903,0.019002347446296305,0.0,0.0,loose_off,11.0,0.0626333333333333,0.5833333333333334,0.03051228322983333,0.2566666666666667,0.7601990049751244,0.017384463333333332,0.22,0.42882936110668074,0.07196666666666664,0.024497398888888907,exp_20260321_183118_exp_rq3_loose,9,event7,0.9789473684210527,95,1839.0,1996.0,359.0,1736.0,0.0,0.8571428571428571,0.7
